"Ciudad";"Precio";"Area_m2";"Habitaciones";"Banios";"Parqueadero";"Estrato";"Es_destacado"
" Bogota";438978000;81;3;2;2;4;0
" Santa Marta";228175200;38,95;1;1;1;6;0
" Cartagena";3685000000;279;3;2;2;6;0
" Bogota";3652781700;332,58;3;5;5;6;0
" Chinchina";386502500;90,65;3;2;2;5;0
" Bogota";777126000;97,76;3;2;2;5;1
" Santa Marta";571002176;78,4;2;2;2;6;0
" Santa Marta";435758400;70,5;2;2;2;6;0
" Bogota";248470477;29;1;1;1;5;0
" Barranquilla";435309315;101;4;3;3;4;0
" Barranquilla";375640000;103,72;3;2;2;5;0
" La Calera";1696000000;2,68;3;2;2;6;0
" Medellin";867537640;99;3;3;3;6;0
" Bogota";449645000;61,7;2;2;2;3;0
" Calarca";106800000;44,61;2;1;1;2;0
" Barranquilla";396320000;104;3;2;2;5;0
" Chinchina";349002500;90,65;3;2;2;5;0
" Bogota";370590000;58;2;1;1;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Santa Marta";555993228;77,7;2;2;2;6;0
" Bogota";421944600;69;2;2;2;4;0
" Bogota";766832958;87;3;2;2;5;0
" Chinchina";418431500;102,19;3;2;2;5;0
" Armenia";165000000;47,56;2;2;2;4;0
" Bogota";446288500;61,21;2;2;2;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bogota";250000000;47,67;2;2;2;3;0
" Barranquilla";444050000;122,73;4;4;4;5;0
" Cajica";297474000;66;3;2;2;3;0
" Medellin";1044693538;120;3;4;4;6;0
" Santiago de Cali";157760000;65,7;2;1;1;4;0
" Bogota";1690952000;93,66;2;2;2;6;0
" Bogota";811532946;101;3;2;2;5;0
" Bogota";777126000;97,76;3;2;2;5;1
" Armenia";95000000;33,4;1;1;1;4;0
" Barranquilla";398380000;115,74;4;4;4;5;0
" Bogota";375700000;48;1;2;2;4;0
" Bucaramanga";240000000;72,01;3;2;2;3;0
" Santa Marta";609840000;76,4;2;3;3;6;0
" Santa Marta";215061000;38;1;1;1;6;0
" Santa Marta";446760000;73;2;2;2;6;0
" Santa Marta";335666960;55,87;1;2;2;6;0
" Chinchina";384002500;90,65;3;2;2;5;0
" Bogota";258804000;33,84;1;1;1;3;0
" Bogota";257000000;59,4;3;2;2;3;0
" Bogota";2683550000;173,57;3;5;5;6;0
" Bogota";112155000;33,35;3;2;2;3;1
" Barranquilla";416030400;120,24;4;5;5;5;0
" Cajica";330562000;77,62;3;2;2;3;0
" Bogota";446560000;61,7;2;2;2;3;0
" Chinchina";376502500;90,65;3;2;2;5;0
" Armenia";165000000;45,73;2;2;2;4;0
" Bogota";190620000;24,24;1;1;1;3;0
" Bogota";163883578;30,61;3;2;2;3;1
" Armenia";95000000;33,37;1;1;1;4;0
" Bogota";400204000;62;2;2;2;4;0
" Barranquilla";470890000;122,73;4;4;4;5;0
" Santa Marta";807206400;128;3;3;3;6;0
" Bogota";1025119000;107;3;2;2;5;0
" Barranquilla";430700800;124,48;4;5;5;5;0
" Armenia";270000000;70;3;3;3;4;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";395700000;66;2;2;2;4;0
" Santa Marta";618200000;84;2;3;3;6;0
" Barranquilla";430520000;115,74;4;4;4;5;0
" Bogota";1365616000;84,54;1;2;2;6;0
" Bogota";323951000;54,9;2;2;2;4;0
" Armenia";190000000;63,2;3;2;2;4;0
" Cajica";316814000;74,06;3;2;2;3;0
" Armenia";190000000;58,42;3;2;2;4;0
" Bogota";418700000;71,8;3;2;2;4;0
" Bogota";962505000;64,2;1;2;2;6;0
" Bogota";1000101528;118;3;2;2;5;0
" Bogota";497161000;98;3;3;3;4;0
" Bogota";112155000;33,35;3;2;2;3;1
" Bogota";1171619620;119;3;2;2;5;0
" Bogota";451146000;73;2;2;2;4;0
" Bogota";441700000;75;3;2;2;4;0
" Bogota";255420000;33,84;1;1;1;3;0
" Bogota";586318000;90;3;2;2;4;0
" Armenia";165000000;46,71;2;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Armenia";165000000;45,86;2;2;2;4;0
" Bogota";417507000;67;2;2;2;4;0
" Bogota";1278358000;133;3;2;2;5;0
" Bogota";345166000;66;3;2;2;4;0
" Barranquilla";447620000;115,74;4;4;4;5;0
" Bogota";1562000000;96,82;2;2;2;6;0
" Barranquilla";426640000;122,73;4;4;4;5;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";405877500;56,13;2;2;2;3;0
" Chinchina";379002500;90,65;3;2;2;5;0
" Bogota";2599550000;167,97;3;3;3;6;0
" Barranquilla";395260000;103,72;3;2;2;5;0
" Bogota";614616988;74;3;3;3;5;0
" Chinchina";420931500;102,19;3;2;2;5;0
" Armenia";165000000;47,02;2;2;2;4;0
" Bogota";553391000;86,88;3;2;2;4;0
" Bogota";255555000;33,86;1;1;1;3;0
" Bogota";2471532000;167,24;3;3;3;6;0
" Bogota";651000000;78;3;2;2;5;0
" Bogota";440167500;61,21;2;2;2;3;0
" Bogota";112155000;33,35;3;2;2;3;1
" Barranquilla";988794000;155,26;3;4;4;6;0
" Bogota";443475000;61,7;2;2;2;3;0
" Ricaurte";242985420;60,5;2;2;2;4;0
" La Calera";477540252;101,25;3;3;3;4;0
" Cartagena";3237000000;357;3;5;5;6;0
" Bogota";602666000;95;3;3;3;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Barranquilla";1297622000;215,8;3;4;4;6;0
" Barranquilla";357250000;103,72;3;2;2;5;0
" Tunja";126650000;45,33;2;1;1;3;0
" Barranquilla";435350000;122,73;4;4;4;5;0
" Flandes";129659000;59,67;3;2;2;3;0
" Bogota";147400000;21,2;1;1;1;3;0
" Bogota";1294100000;108;2;1;1;6;0
" Bogota";516100000;63;3;2;2;5;1
" Chinchina";423431500;102,19;3;2;2;5;0
" Ricaurte";235289724;61,6;2;2;2;4;0
" Bogota";409117500;56,61;2;2;2;3;0
" Barranquilla";362870000;104;3;2;2;5;0
" Barranquilla";1530148000;245;3;4;4;6;0
" Bogota";190552500;24,23;1;1;1;3;0
" Barranquilla";947840000;146,17;3;4;4;6;0
" Bogota";426818000;67;2;2;2;4;0
" Santiago de Cali";157760000;54,15;2;1;1;4;0
" Cajica";227500000;57;2;1;1;4;0
" Bogota";460366000;73,39;3;2;2;4;0
" Ricaurte";378924977;83,63;3;3;3;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";150200000;49;3;2;2;2;0
" Itagui";347884000;71,61;2;2;2;4;0
" Cajica";1088378760;164,38;3;5;5;5;0
" Tunja";126650000;58,54;3;2;2;3;0
" La Calera";332846434;69,71;2;2;2;4;0
" Flandes";132660000;59,9;3;2;2;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Madrid";152500000;64,5;3;2;2;4;0
" Ricaurte";581012400;113,98;3;3;3;4;0
" Rionegro";428353500;74,01;3;2;2;4;0
" Ricaurte";229709706;59,71;2;2;2;4;0
" Cajica";204400000;51;2;1;1;4;0
" Ricaurte";140367000;56;3;2;2;3;0
" Fusagasuga";283360000;70,73;3;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Cajica";1055064540;158,06;3;5;5;5;0
" Bogota";267000000;61;3;2;2;4;0
" Sabaneta";501710600;94,47;3;3;3;4;0
" Envigado";658592000;98,15;2;3;3;5;0
" Giron";165000000;120;3;3;3;3;0
" Envigado";563160000;93,12;3;2;2;4;0
" Envigado";1140480000;161;3;5;5;5;0
" Tunja";126650000;45,33;2;1;1;3;0
" Envigado";916128000;125,46;3;4;4;5;0
" Envigado";536096000;90,98;3;3;3;4;0
" La Calera";477540252;101,25;3;3;3;4;0
" Envigado";980498400;134,59;3;3;3;5;0
" Bogota";112155000;33,35;3;2;2;3;1
" Giron";160000000;115;3;3;3;3;0
" Tunja";89946496;26,42;1;1;1;3;0
" Envigado";476550163;74,8;2;2;2;5;0
" Itagui";333741500;67,47;2;2;2;4;0
" Cajica";1053000000;173;3;4;4;6;0
" Barranquilla";1524842000;251,6;3;4;4;6;0
" Bogota";163883578;30,61;3;2;2;3;1
" Cartagena";3394000000;415;3;7;1;6;0
" Madrid";152500000;63;3;2;2;4;0
" Envigado";869410000;130,55;3;4;4;5;0
" La Calera";311588785;66,22;2;2;2;4;0
" Rionegro";266840000;62;3;2;2;4;0
" Envigado";665584000;90,38;2;2;2;5;0
" Envigado";882174400;123,08;3;4;4;5;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";125200000;34;1;1;1;2;0
" Medellin";591634744;87,6;3;3;3;6;0
" Piedecuesta";106000000;36,4;1;1;1;3;0
" Rionegro";439909500;76,17;3;2;2;4;0
" Ricaurte";261895562;68,75;3;2;2;4;0
" Envigado";804450400;109,4;2;2;2;5;0
" Fusagasuga";232885559;56,56;2;2;2;3;0
" Bogota";414982000;43;1;2;2;4;0
" Giron";129134500;58,3;3;2;2;3;0
" Sabaneta";472530800;88,46;3;3;3;4;0
" Bogota";254000000;61,5;3;2;2;4;0
" Envigado";445016000;78,08;3;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Giron";127968500;58,3;3;2;2;3;0
" La Calera";423105762;89,92;3;3;3;4;0
" Envigado";575000000;94,27;3;3;3;5;0
" Envigado";824096000;123,08;3;4;4;5;0
" Envigado";876970000;138,3;3;4;4;5;0
" Giron";124000000;62;3;2;2;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Envigado";453205000;66,41;2;2;2;4;0
" Sabaneta";554056000;107,72;3;4;4;4;0
" Cajica";749491976;114,88;3;4;4;5;0
" Fusagasuga";267742000;61,13;2;2;2;3;0
" Bogota";254000000;60,5;3;2;2;4;0
" Piedecuesta";112500000;44,2;2;1;1;3;0
" Envigado";458500000;78;3;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Rionegro";488808500;85,31;3;2;2;4;0
" Itagui";380875000;76,5;2;2;2;4;0
" Giron";122516000;56,2;3;2;2;3;0
" Envigado";685235133;110,2;3;3;3;5;0
" Bogota";417486000;48,24;1;2;2;4;0
" Envigado";695232000;94,74;2;2;2;5;0
" Ricaurte";302946706;79,7;3;2;2;4;0
" Barranquilla";985776000;167,09;3;4;4;6;0
" Medellin";649976726;93,8;3;3;3;6;0
" Cajica";919851856;135,63;3;3;3;5;0
" Bogota";439400000;32;1;1;1;6;0
" Rionegro";258512400;59,8;3;2;2;4;0
" Bogota";112155000;33,35;3;2;2;3;1
" La Calera";354033871;75;3;2;2;4;0
" Barranquilla";2761128000;404;3;4;4;6;0
" Envigado";821087400;111,69;3;2;2;5;0
" Rionegro";437502000;75,72;3;2;2;4;0
" Girardot";287500000;88;3;2;2;4;0
" Bogota";654700000;53;1;1;1;6;0
" Bogota";163883578;30,61;3;2;2;3;1
" Envigado";739642000;110,9;3;3;3;5;0
" Bogota";282000000;62,5;3;2;2;4;0
" Medellin";742078132;100,5;3;3;3;6;0
" Cartagena";156000000;47;2;1;1;3;0
" Giron";118000000;54;3;2;2;3;0
" Cartagena";181436325;56;2;2;2;3;0
" Barranquilla";1022388000;169,64;3;4;4;6;0
" Bogota";516100000;63;3;2;2;5;1
" Itagui";339197500;65,55;2;2;2;4;0
" Bogota";260000000;80,44;3;2;2;4;0
" Piedecuesta";124000000;51;3;1;1;3;0
" Envigado";464064000;79,82;3;2;2;4;0
" Bogota";424394000;52;1;2;2;4;0
" Envigado";624867000;79,87;2;2;2;5;0
" Bogota";417345500;44,9;1;1;1;6;0
" Envigado";533092000;76,84;2;2;2;5;0
" Medellin";479316946;69,6;3;2;2;6;0
" Sabaneta";532064800;99,26;3;3;3;4;0
" San Antonio de Pereira";529293000;83;3;2;2;4;0
" Santiago de Cali";465000000;87,84;3;2;2;5;0
" Bogota";112155000;33,35;3;2;2;3;1
" Bogota";924264000;77,8;1;2;2;6;0
" Envigado";984867574;166;3;3;3;5;0
" La Calera";481407901;102,07;3;3;3;4;0
" Pereira";420000000;93,34;5;3;3;4;0
" Bogota";331634942;95,87;3;3;3;3;0
" Sabaneta";279300000;54;1;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Sabaneta";631042600;115,37;3;4;4;4;0
" Envigado";935006000;141,13;3;4;4;5;0
" Girardot";342937000;102,66;3;2;2;4;0
" Yumbo";107000000;50,2;2;2;2;3;0
" Cartagena";156000000;47;2;1;1;3;0
" Cartagena";2311000000;187;3;4;4;6;0
" Bogota";185932806;53,75;2;2;2;3;0
" Bogota";516100000;63;3;2;2;5;1
" Envigado";719404000;96,53;2;2;2;5;0
" Envigado";814260000;129,7;3;4;4;5;0
" Itagui";336285000;66,7;2;2;2;4;0
" San Antonio de Pereira";390500000;60;3;2;2;4;0
" Envigado";478165000;80,03;3;2;2;4;0
" Barranquilla";418367000;95,3;3;2;2;4;0
" Bogota";708600000;58;1;1;1;6;0
" Medellin";761828132;100,5;3;3;3;6;0
" San Antonio de Pereira";551694000;87;3;2;2;4;0
" Envigado";477725000;79,95;3;2;2;4;0
" Barranquilla";1403405000;215,6;3;4;4;6;0
" Rionegro";433919000;73,82;3;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Cartagena";156000000;47;2;1;1;3;0
" Bogota";816700000;60;1;1;1;6;0
" Cartagena";2856000000;235;4;6;1;6;0
" San Antonio de Pereira";439000000;71,4;3;2;2;4;0
" Pereira";460000000;86,22;3;3;3;4;0
" Rionegro";525843000;90,54;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Medellin";740000000;77,19;1;3;3;6;0
" Envigado";802296000;108,72;2;2;2;5;0
" Envigado";483400000;80,8;3;2;2;4;0
" Bogota";396165000;44,9;1;1;1;6;0
" Itagui";344520500;68,51;2;2;2;4;0
" Pereira";370000000;77,91;3;3;3;4;0
" Bogota";542021000;66;1;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bogota";296593094;85,74;3;3;3;3;0
" San Antonio de Pereira";395500000;60;3;2;2;4;0
" Rionegro";429316500;74,19;3;2;2;4;0
" Envigado";607205000;101,75;3;3;3;5;0
" Medellin";815506210;101,1;3;3;3;6;0
" Bogota";544293000;56,55;1;2;2;6;0
" San Antonio de Pereira";470979000;72;3;2;2;4;0
" Bogota";177117479;47;2;2;2;3;0
" Barranquilla";334295000;69,5;2;2;2;4;0
" Barranquilla";1019638000;178,61;3;4;4;6;0
" Sabaneta";329000000;64;2;3;3;4;0
" Barranquilla";1688579000;260,68;3;4;4;6;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";544700000;72;1;2;2;4;0
" Rionegro";461714000;78,92;3;2;2;4;0
" Dosquebradas";299138000;65,03;2;2;2;4;0
" Palmira";292200000;70,54;2;2;2;5;0
" Rionegro";460896500;78,77;3;2;2;4;0
" La Tebaida";103561500;42,27;2;1;1;2;0
" Bogota";150000000;24,61;3;2;2;3;1
" San Antonio de Pereira";419300000;60;3;2;2;4;0
" Dosquebradas";226710000;50,38;1;2;2;4;0
" Envigado";596400000;91,9;3;2;2;5;0
" San Antonio de Pereira";534470000;84;3;2;2;4;0
" Bogota";898800000;67;1;1;1;6;0
" Cartagena";2990000000;306;3;5;5;6;0
" Dosquebradas";202950000;49,5;1;1;1;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Medellin";795000000;88,28;2;3;3;6;0
" Bogota";143178000;34,09;1;1;1;3;0
" Dosquebradas";295200000;72;3;2;2;4;0
" Envigado";675367315;105,29;3;3;3;5;0
" Bogota";123018000;29,29;1;1;1;3;0
" Barranquilla";456487000;95,3;3;2;2;4;0
" Santiago de Cali";581000000;94,08;2;3;3;6;0
" Bogota";175082512;46,46;2;2;2;3;0
" Barranquilla";907420000;139,08;3;4;4;6;0
" Bogota";442300000;32,98;1;1;1;4;0
" Barranquilla";303020000;69,5;2;2;2;4;0
" Medellin";707127322;84,1;3;3;3;6;0
" Bogota";112155000;33,35;3;2;2;3;1
" La Tebaida";87073000;35,54;2;1;1;2;0
" Rionegro";517395500;88,99;3;2;2;4;0
" Envigado";659300000;100,05;3;3;3;5;0
" La Tebaida";119325000;47,73;2;1;1;2;0
" Bogota";485800000;35,23;1;1;1;4;0
" Dosquebradas";388700000;84,5;3;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Santiago de Cali";411300000;64,81;1;2;2;6;0
" Santiago de Cali";652300000;114;3;4;4;6;0
" Bogota";191813472;55,45;2;2;2;3;0
" Rionegro";468096500;78,77;3;2;2;4;0
" San Antonio de Pereira";485963000;73;3;2;2;4;0
" Bogota";142824520;37,9;1;1;1;3;0
" Cartagena";2581000000;251;4;6;1;6;0
" Bogota";516100000;63;3;2;2;5;1
" Barranquilla";451722000;95,3;3;2;2;4;0
" Bogota";130830000;31,15;1;1;1;3;0
" Bogota";651914000;88,12;2;2;2;4;0
" Envigado";639619082;103;3;3;3;5;0
" Bogota";129864000;30,92;1;1;1;3;0
" Medellin";814944504;111;3;3;3;6;0
" Dosquebradas";305450000;74,5;3;2;2;4;0
" Barranquilla";387415200;80,88;3;2;2;4;0
" Medellin";847000000;92,93;2;3;3;6;0
" Palmira";348800000;84,18;2;2;2;5;0
" Bogota";465400000;37;1;1;1;4;0
" Bogota";510300000;48,99;1;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Envigado";676280000;102,88;3;3;3;5;0
" San Antonio de Pereira";528142000;83;3;2;2;4;0
" Bogota";122598000;29,19;1;1;1;3;0
" Bogota";315376632;91,17;3;3;3;3;0
" Rionegro";426427500;73,65;3;2;2;4;0
" Envigado";611100000;94,35;3;2;2;5;0
" Bogota";150000000;24,61;3;2;2;3;1
" Barranquilla";309970000;69,5;2;2;2;4;0
" Bogota";587200000;49;1;1;1;4;0
" Bogota";668200000;51,56;1;1;1;4;0
" Bogota";128898000;30,69;1;1;1;3;0
" Barranquilla";320395000;69,5;2;2;2;4;0
" Bogota";400100000;34,68;1;1;1;4;0
" Bogota";436800000;34,68;1;1;1;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" La Tebaida";140500000;56,2;3;2;2;2;0
" Bogota";308900000;28,51;1;1;1;4;0
" San Antonio de Pereira";423392000;60;3;2;2;4;0
" Bogota";140940291;37,4;1;1;1;3;0
" Envigado";555000000;85;2;2;2;5;0
" Bogota";336200000;33,1;1;2;2;4;0
" Santiago de Cali";811800000;135;4;4;4;6;0
" Envigado";689765130;112,97;3;3;3;5;0
" Bogota";204175000;54,18;2;2;2;3;0
" Medellin";987000000;105,62;2;3;3;6;0
" Bogota";127596000;30,38;1;1;1;3;0
" La Tebaida";103292000;42,16;2;1;1;2;0
" Cajica";256563000;46,65;3;2;2;4;1
" Barranquilla";451722000;95,3;3;2;2;4;0
" Barranquilla";427897000;95,3;3;2;2;4;0
" Bogota";574300000;51,59;1;2;2;4;0
" Barranquilla";387415200;80,88;3;2;2;4;0
" Bogota";486000000;42,35;1;2;2;4;0
" Envigado";970710000;112,26;3;3;3;5;0
" Bogota";150000000;24,61;3;2;2;3;1
